HD61383	7.57	16.8143643783	0.85276616591	18.57	0.64
HD69611	7.74	nan	nan	20.5	0.95
HD61383	7.57	16.814	0.853	18.57	0.64
HD69611	7.74	nan	nan	20.5	0.95
HD134113	8.26	nan	nan	13.91	1.21
HD61383	7.57	16.814	0.853	18.57	0.64
HD69611	7.74	nan	nan	20.5	0.95
HD134113	8.26	nan	nan	13.91	1.21
HD61383	7.57	16.814	0.853	18.57	0.64
HD69611	7.74	nan	nan	20.5	0.95
HD134113	8.26	nan	nan	13.91	1.21
HD148816	7.28	nan	nan	nan	nan
HD84937	8.32	nan	nan	nan	nan
HD49933	5.783	33.765	0.586	33.69	0.42
18 Sco	5.5	nan	nan	71.94	0.37
HD134985	9.29	nan	nan	22.96	1.19
HD25673	9.56	22.11	0.298	21.09	1.37
HD150433	7.22	nan	nan	33.82	0.58
